"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Area
China,110258.0,294.0,4636.0,,102318.0,84.0,3304.0,18.0,77.0,3.0,160000000.0,111163.0,1439323776.0,Asia
USA,80895651.0,45698.0,983486.0,1454.0,54344934.0,207970.0,25567231.0,6693.0,242027.0,2942.0,955780795.0,2859549.0,334241797.0,North America
India,42957477.0,5921.0,514908.0,288.0,42378721.0,11651.0,63848.0,8944.0,30626.0,367.0,770973356.0,549658.0,1402643172.0,Asia
Brazil,28974315.0,68101.0,651343.0,697.0,26909481.0,99195.0,1413491.0,8318.0,134714.0,3028.0,63776166.0,296522.0,215080841.0,South America
France,22958320.0,57789.0,139123.0,181.0,21483323.0,118431.0,1335874.0,2484.0,350431.0,2124.0,246629975.0,3764506.0,65514564.0,Europe
UK,19119181.0,44740.0,162008.0,110.0,17537214.0,,1419959.0,264.0,279189.0,2366.0,485037295.0,7082788.0,68481129.0,Europe
Russia,16775024.0,89174.0,354787.0,776.0,14263191.0,160507.0,2157046.0,2300.0,114867.0,2429.0,273400000.0,1872104.0,146038899.0,Europe
Germany,15579480.0,203972.0,124517.0,252.0,11898500.0,201900.0,3556463.0,2494.0,184961.0,1478.0,104701826.0,1243031.0,84231046.0,Europe
Turkey,14293828.0,38283.0,95205.0,180.0,13636181.0,63311.0,562442.0,1011.0,166491.0,1109.0,145385769.0,1693421.0,85853298.0,Asia
Italy,12948859.0,38095.0,155609.0,210.0,11769463.0,55818.0,1023787.0,625.0,214693.0,2580.0,189102673.0,3135332.0,60313444.0,Europe
Spain,11100428.0,22400.0,100431.0,192.0,9861014.0,60505.0,1138983.0,851.0,237265.0,2147.0,471036328.0,10068105.0,46785002.0,Europe
Argentina,8929898.0,8362.0,126624.0,93.0,8720016.0,14838.0,83258.0,1035.0,194603.0,2759.0,34433802.0,750391.0,45887800.0,South America
Iran,7080217.0,6470.0,137593.0,154.0,6709131.0,12637.0,233493.0,4056.0,82533.0,1604.0,48571202.0,566187.0,85786549.0,Asia
Netherlands,6573195.0,68309.0,21599.0,10.0,4729179.0,76057.0,1822417.0,147.0,382204.0,1256.0,21107399.0,1227307.0,17198147.0,Europe
Colombia,6069425.0,1351.0,138984.0,45.0,5897583.0,1703.0,32858.0,342.0,117198.0,2684.0,33310231.0,643206.0,51787803.0,South America
Poland,5721316.0,12483.0,112336.0,206.0,5110017.0,10502.0,498963.0,656.0,151448.0,2974.0,33955578.0,898832.0,37777430.0,Europe
Indonesia,5693702.0,26347.0,149596.0,328.0,5026853.0,40462.0,517253.0,2911.0,20455.0,537.0,86417138.0,310463.0,278349576.0,Asia
Mexico,5544644.0,10558.0,319296.0,461.0,4821403.0,11604.0,403945.0,4798.0,42263.0,2434.0,15171873.0,115645.0,131192990.0,North America
Japan,5210263.0,70958.0,24349.0,257.0,4499479.0,79653.0,686435.0,1419.0,41407.0,194.0,39532650.0,314174.0,125830265.0,Asia
Ukraine,4809624.0,,105505.0,,4058020.0,,646099.0,177.0,111089.0,2437.0,19521252.0,450887.0,43295254.0,Europe
Vietnam,4059262.0,125587.0,40644.0,97.0,2589436.0,38911.0,1429182.0,3418.0,41086.0,411.0,79863303.0,808333.0,98799997.0,Asia
S. Korea,3958326.0,266838.0,8580.0,186.0,969524.0,,2980222.0,797.0,77096.0,167.0,15804065.0,307814.0,51342824.0,Asia
South Africa,3681437.0,1898.0,99517.0,18.0,3557369.0,3087.0,24551.0,546.0,60794.0,1643.0,23196880.0,383063.0,60556245.0,Africa
Philippines,3665747.0,853.0,56770.0,232.0,3558747.0,1062.0,50230.0,296.0,32726.0,507.0,28203435.0,251784.0,112014307.0,Asia
Israel,3662071.0,8463.0,10264.0,25.0,3585292.0,,66515.0,510.0,392673.0,1101.0,41373364.0,4436346.0,9326000.0,Asia
Czechia,3616681.0,8075.0,38878.0,35.0,3491498.0,17214.0,86305.0,176.0,336682.0,3619.0,52779959.0,4913357.0,10742138.0,Europe
Belgium,3578738.0,7159.0,30244.0,27.0,3153984.0,28944.0,394510.0,224.0,306562.0,2591.0,31831104.0,2726713.0,11673799.0,Europe
Malaysia,3561766.0,33209.0,33106.0,78.0,3223650.0,26352.0,305010.0,348.0,107743.0,1001.0,50429187.0,1525483.0,33057842.0,Asia
Peru,3524504.0,2020.0,210995.0,88.0,,,,837.0,104467.0,6254.0,27557825.0,816816.0,33738088.0,South America
Australia,3321716.0,24511.0,5355.0,38.0,3101681.0,20132.0,214680.0,112.0,127790.0,206.0,63873799.0,2457297.0,25993524.0,Australia/Oceania
Canada,3317311.0,6926.0,36905.0,62.0,3166195.0,4222.0,114211.0,600.0,86627.0,964.0,58355310.0,1523863.0,38294340.0,North America
Portugal,3308438.0,13747.0,21162.0,21.0,2805955.0,6424.0,481321.0,84.0,326048.0,2086.0,37805639.0,3725762.0,10147088.0,Europe
Chile,3147434.0,23132.0,42809.0,126.0,2180125.0,31104.0,924500.0,1096.0,162322.0,2208.0,33336422.0,1719257.0,19390016.0,South America
Thailand,2981996.0,23834.0,23127.0,54.0,2731029.0,19351.0,227840.0,687.0,42544.0,330.0,17270775.0,246401.0,70092285.0,Asia
Switzerland,2877753.0,14962.0,13300.0,1.0,2293957.0,37298.0,570496.0,134.0,328502.0,1518.0,18871544.0,2154227.0,8760240.0,Europe
Austria,2808008.0,32419.0,14960.0,36.0,2505491.0,27323.0,287557.0,193.0,308839.0,1645.0,161522349.0,17765022.0,9092156.0,Europe
Romania,2760332.0,5602.0,63849.0,65.0,2555390.0,19340.0,141093.0,816.0,145101.0,3356.0,21249513.0,1117013.0,19023510.0,Europe
Denmark,2702397.0,19178.0,4772.0,41.0,2396579.0,33655.0,301046.0,42.0,463832.0,819.0,125736321.0,21581029.0,5826243.0,Europe
Greece,2486262.0,16050.0,26092.0,56.0,2272890.0,9532.0,187280.0,389.0,240495.0,2524.0,66920511.0,6473203.0,10338083.0,Europe
Sweden,2455966.0,,17479.0,,2243175.0,35855.0,195312.0,59.0,240678.0,1713.0,18174812.0,1781084.0,10204355.0,Europe
Iraq,2307158.0,1066.0,25034.0,6.0,2252820.0,1916.0,29304.0,104.0,55291.0,600.0,18036568.0,432247.0,41727463.0,Asia
Bangladesh,1946369.0,604.0,29064.0,6.0,1835980.0,4403.0,81325.0,1275.0,11625.0,174.0,13489346.0,80568.0,167427117.0,Asia
Serbia,1921831.0,2504.0,15375.0,29.0,1832694.0,6999.0,73762.0,100.0,221444.0,1772.0,8814153.0,1015615.0,8678633.0,Europe
Hungary,1800046.0,3064.0,44286.0,75.0,1618574.0,8259.0,137186.0,126.0,187126.0,4604.0,10836962.0,1126572.0,9619412.0,Europe
Jordan,1638228.0,,13849.0,,1546429.0,,77950.0,694.0,157945.0,1335.0,16319298.0,1573377.0,10372146.0,Asia
Georgia,1620639.0,1365.0,16306.0,32.0,1539413.0,9790.0,64920.0,,407566.0,4101.0,15965223.0,4015007.0,3976387.0,Asia
Pakistan,1512707.0,953.0,30248.0,11.0,1451665.0,2605.0,30794.0,890.0,6633.0,133.0,26570773.0,116515.0,228045371.0,Asia
Slovakia,1493383.0,11029.0,18631.0,20.0,1305892.0,17492.0,168860.0,228.0,273310.0,3410.0,6464073.0,1183017.0,5464056.0,Europe
Ireland,1315100.0,3995.0,6531.0,4.0,1186629.0,5934.0,121940.0,43.0,261461.0,1298.0,11426271.0,2271708.0,5029814.0,Europe
Kazakhstan,1303316.0,253.0,13623.0,3.0,1273733.0,1263.0,15960.0,528.0,68053.0,711.0,11575012.0,604394.0,19151428.0,Asia
Norway,1299549.0,9665.0,1664.0,,88952.0,,1208933.0,26.0,236627.0,303.0,9852076.0,1793903.0,5491979.0,Europe
Morocco,1161506.0,114.0,16009.0,3.0,1142682.0,364.0,2815.0,293.0,30858.0,425.0,11237010.0,298535.0,37640491.0,Africa
Bulgaria,1099423.0,2125.0,35790.0,74.0,851999.0,3207.0,211634.0,420.0,160239.0,5216.0,9253599.0,1348695.0,6861149.0,Europe
Lebanon,1075974.0,1602.0,10134.0,9.0,682977.0,,382863.0,186.0,158829.0,1496.0,4795578.0,707894.0,6774432.0,Asia
Cuba,1071964.0,638.0,8498.0,,1061076.0,574.0,2390.0,34.0,94738.0,751.0,12920253.0,1141862.0,11315078.0,North America
Croatia,1061429.0,1351.0,15172.0,27.0,1035378.0,2486.0,10879.0,74.0,261242.0,3734.0,4533308.0,1115750.0,4063015.0,Europe
Tunisia,1001754.0,,27874.0,,961303.0,,12577.0,173.0,83306.0,2318.0,4362099.0,362754.0,12024962.0,Africa
Nepal,977380.0,111.0,11945.0,1.0,958193.0,385.0,7242.0,100.0,32568.0,398.0,5440278.0,181277.0,30010857.0,Asia
Belarus,927464.0,1949.0,6535.0,14.0,918284.0,2561.0,2645.0,,98205.0,692.0,12510624.0,1324698.0,9444136.0,Europe
Lithuania,923815.0,5103.0,8484.0,,834680.0,5499.0,80651.0,81.0,347442.0,3191.0,7799620.0,2933400.0,2658901.0,Europe
Slovenia,900857.0,1860.0,6341.0,5.0,865893.0,3833.0,28623.0,80.0,433226.0,3049.0,2576561.0,1239080.0,2079415.0,Europe
Bolivia,894200.0,425.0,21453.0,10.0,793814.0,1395.0,78933.0,220.0,74900.0,1797.0,2669468.0,223599.0,11938660.0,South America
UAE,881919.0,447.0,2301.0,,840077.0,1436.0,39541.0,,87407.0,228.0,139374445.0,13813436.0,10089774.0,Asia
Uruguay,851241.0,2191.0,7031.0,17.0,828444.0,3399.0,15766.0,120.0,243642.0,2012.0,5743270.0,1643836.0,3493821.0,South America
Ecuador,836216.0,,35264.0,,,,,759.0,46225.0,1949.0,2470170.0,136549.0,18089961.0,South America
Costa Rica,814583.0,1771.0,8082.0,9.0,686840.0,3849.0,119661.0,116.0,157507.0,1563.0,3712867.0,717915.0,5171738.0,North America
Singapore,803389.0,17564.0,1067.0,18.0,738964.0,23545.0,63358.0,30.0,135545.0,180.0,23230460.0,3919350.0,5927121.0,Asia
Guatemala,789354.0,2485.0,17045.0,16.0,734280.0,3373.0,38029.0,5.0,42741.0,923.0,3986578.0,215861.0,18468290.0,North America
Azerbaijan,788525.0,588.0,9488.0,15.0,772715.0,1185.0,6322.0,,76618.0,922.0,6585992.0,639934.0,10291672.0,Asia
Panama,757061.0,522.0,8106.0,5.0,744734.0,832.0,4221.0,26.0,170969.0,1831.0,5541364.0,1251418.0,4428067.0,North America
Saudi Arabia,746836.0,363.0,9005.0,1.0,726351.0,559.0,11480.0,461.0,20909.0,252.0,40943934.0,1146302.0,35718275.0,Asia
Latvia,689794.0,7676.0,5323.0,24.0,551818.0,,132653.0,55.0,372580.0,2875.0,6789961.0,3667482.0,1851396.0,Europe
Finland,671773.0,7185.0,2387.0,3.0,46000.0,,623386.0,39.0,120929.0,430.0,10008882.0,1801751.0,5555085.0,Europe
Sri Lanka,648993.0,583.0,16307.0,20.0,609680.0,195.0,23006.0,,30097.0,756.0,6282076.0,291335.0,21563086.0,Asia
Paraguay,643342.0,360.0,18454.0,14.0,613318.0,912.0,11570.0,130.0,88387.0,2535.0,2538886.0,348810.0,7278712.0,South America
Kuwait,621965.0,499.0,2543.0,2.0,612586.0,1205.0,6836.0,42.0,142133.0,581.0,7703089.0,1760332.0,4375929.0,Asia
Myanmar,595821.0,1863.0,19383.0,4.0,544056.0,2408.0,32382.0,,10829.0,352.0,7212901.0,131100.0,55018491.0,Asia
Palestine,577868.0,382.0,5278.0,11.0,562645.0,1305.0,9945.0,77.0,109049.0,996.0,3078533.0,580950.0,5299137.0,Asia
Dominican Republic,575592.0,155.0,4370.0,,569533.0,239.0,1689.0,30.0,52187.0,396.0,3134774.0,284219.0,11029423.0,North America
Bahrain,523654.0,2041.0,1458.0,2.0,499114.0,4700.0,23082.0,16.0,290899.0,810.0,9437182.0,5242529.0,1800120.0,Asia
Venezuela,516236.0,293.0,5645.0,2.0,505306.0,680.0,5285.0,230.0,18241.0,199.0,3359014.0,118687.0,28301471.0,South America
Estonia,511022.0,3311.0,2275.0,8.0,393305.0,2890.0,115442.0,25.0,384799.0,1713.0,3130381.0,2357172.0,1328024.0,Europe
Moldova,504307.0,617.0,11269.0,15.0,481585.0,1277.0,11453.0,80.0,125502.0,2804.0,3049219.0,758830.0,4018315.0,Europe
Libya,497279.0,501.0,6288.0,4.0,472350.0,1148.0,18641.0,122.0,70765.0,895.0,2436098.0,346668.0,7027172.0,Africa
Egypt,488763.0,1121.0,24162.0,13.0,418462.0,983.0,46139.0,122.0,4630.0,229.0,3693367.0,34991.0,105553398.0,Africa
Ethiopia,468895.0,45.0,7476.0,3.0,420193.0,200.0,41226.0,68.0,3917.0,62.0,4527005.0,37816.0,119711028.0,Africa
Mongolia,465326.0,232.0,2173.0,1.0,313256.0,,149897.0,192.0,138229.0,646.0,4030048.0,1197156.0,3366351.0,Asia
Armenia,421008.0,251.0,8516.0,11.0,404993.0,836.0,7499.0,,141635.0,2865.0,2909913.0,978949.0,2972486.0,Asia
Honduras,413699.0,,10785.0,,128408.0,,274506.0,105.0,40689.0,1061.0,1263329.0,124253.0,10167377.0,North America
Hong Kong,403080.0,52523.0,1554.0,188.0,13232.0,,388294.0,60.0,53047.0,205.0,36260319.0,4772052.0,7598476.0,Asia
Oman,383874.0,,4248.0,,371874.0,,7752.0,55.0,72114.0,798.0,25000000.0,4696480.0,5323136.0,Asia
Bosnia and Herzegovina,372139.0,293.0,15519.0,14.0,192218.0,,164402.0,,114619.0,4780.0,1706211.0,525512.0,3246760.0,Europe
Qatar,357920.0,156.0,670.0,,354367.0,,2883.0,13.0,127473.0,239.0,3381541.0,1204336.0,2807805.0,Asia
Cyprus,329674.0,1017.0,873.0,12.0,124370.0,,204431.0,60.0,269777.0,714.0,9477138.0,7755267.0,1222026.0,Asia
Kenya,323057.0,32.0,5640.0,,303324.0,28.0,14093.0,4.0,5795.0,101.0,3393679.0,60877.0,55746254.0,Africa
